Season,Sector,Category,Crop,QueryType,QueryText,KCCAns,StateName,DistrictName,BlockName,CreatedOn
KHARIF,AGRICULTURE,Others,Others,Weather,TELL ME RAIN FALL INFORMATION.,RAIN POSSIBILITY IN NEXT 3-4 DAYS IN YOUR DISTRICT,DELHI,EAST,DELHI,18:51.0
KHARIF,AGRICULTURE,Others,Others,Weather,TELL ME ABOUT WEATHER INFORMATION ?,"RAIN POSSIBILITY IN NEXT 3-4 DAYS , CLOUDY SKY",DELHI,EAST,DELHI,06:51.2
KHARIF,AGRICULTURE,Others,Others,Weather,TELL ME ABOUT WEATHER INFORMATION ?,"RAIN POSSIBILITY IN NEXT 3-4 DAYS , CLOUDY SKY",DELHI,EAST,DELHI,00:16.3
KHARIF,AGRICULTURE,Others,Others,Weather,TELL ME ABOUT WEATHER INFORMATION ?,"RAIN POSSIBILITY IN NEXT 3-4 DAYS , CLOUDY SKY",DELHI,EAST,DELHI,14:43.3
RABI,HORTICULTURE,Vegetables,Tomato,Seeds and Planting Material,TELL ME TOMATO VARIETIES.,"TOMATO VARIETIES PUSA SADABAHAR,PUSA-120",DELHI,EAST,DELHI,26:52.2
KHARIF,HORTICULTURE,Vegetables,Tomato,Seeds and Planting Material,TELL ME TOMATO VARIETIES IN SHEDNET HOUSE.,"ARKA RAKSHAK,ARKA SAMRAT.",DELHI,EAST,DELHI,56:20.2
KHARIF,AGRICULTURE,Others,Others,Training and Exposure Visits,FOR CALLING KISAAN CALL CENTER,THANX FOR CALLING KISAAN CALL CENTER,DELHI,EAST,DELHI,36:11.4
KHARIF,AGRICULTURE,Others,Others,Training and Exposure Visits,FOR CALLING KISAAN CALL CENTER,THANX FOR CALLING KISAAN CALL CENTER,DELHI,EAST,DELHI,05:19.0
KHARIF,AGRICULTURE,Others,Others,Varieties,TELL ME VARIETY OF GRAM,"GRAM VARIETY - RSG 945,973, 974 , GNG 1581 (GANGAUR), C 235",DELHI,EAST,DELHI,16:25.6
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Soil Testing,INFORMATION ABOUT SOIL TESTING,CONTACT TO AG. DEPTT. FOR SOIL TESTING,DELHI,EAST,DELHI,39:47.5
KHARIF,AGRICULTURE,Others,Others,Training and Exposure Visits,FOR CALLING KISAAN CALL CENTER,THANX FOR CALLING KISAAN CALL CENTER,DELHI,EAST,DELHI,46:21.6
KHARIF,AGRICULTURE,Others,Others,Weather,TELL ME RAIN FALL INFORMATION.,RAIN POSSIBILITY IN NEXT 4-5DAYS IN YOUR DISTRICT,DELHI,EAST,DELHI,08:02.2
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),"	Plant Protection	",TELL ME PERA WILT DISEASE CONTROL IN COTTON,COBALT CLORIDE 5 GRAM/HECTAR SPRAY,DELHI,EAST,DELHI,56:02.4
KHARIF,AGRICULTURE,Fodder Crops,Other,Varieties,VARIETY OF OAT,"VARIETY OF OAT  - KANT, UPO-94",DELHI,EAST,DELHI,10:31.2
KHARIF,HORTICULTURE,Fruits,Mango,"	Plant Protection	",TELL ME INSECT CONTROL IN MANGO,SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER,DELHI,EAST,DELHI,05:28.0
KHARIF,AGRICULTURE,Others,Others,Weather,TELL ME ABOUT WEATHER INFORMATION ?,"RAIN POSSIBILITY IN NEXT 3-4 DAYS , CLOUDY SKY",DELHI,EAST,DELHI,52:09.1
KHARIF,AGRICULTURE,Others,Others,Weather,TELL ME ABOUT WEATHER INFORMATION ?,"RAIN POSSIBILITY IN NEXT 3-4 DAYS , CLOUDY SKY",DELHI,EAST,DELHI,25:36.1
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",TELL ME DISEASE CONTROL IN,SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER,DELHI,EAST,DELHI,39:56.8
